date,bikes_hired,season,min_temp,max_temp,avg_temp,avg_humidity,avg_pressure,avg_windspeed,rainfall_mm,rain,fog,thunderstorm,snow
18-02-11,17460,1,9.1,,4.8,85,1012,13,0,FALSE,FALSE,FALSE,FALSE
19-02-11,6250,1,6.5,2.6,5.1,91,1010,14,11.2,TRUE,FALSE,FALSE,FALSE
20-02-11,7882,1,,,5,88,1015,10,0,FALSE,FALSE,FALSE,FALSE
21-02-11,13720,1,7.5,,5.4,85,1013,13,0,TRUE,FALSE,FALSE,FALSE
22-02-11,15948,1,7.2,,5.9,90,1016,6,0.5,TRUE,FALSE,FALSE,FALSE
23-02-11,12936,1,11.3,5.9,8.3,90,1016,13,3.8,TRUE,FALSE,FALSE,FALSE
24-02-11,19230,1,14.4,,10.3,83,1022,14,0,FALSE,FALSE,FALSE,FALSE
25-02-11,18634,1,14.1,6.7,10.7,83,1023,13,0,TRUE,FALSE,FALSE,FALSE
26-02-11,7749,1,,,8.6,83,1014,19,6.1,TRUE,FALSE,FALSE,FALSE
27-02-11,8349,1,9.9,,5.1,82,1021,13,3,TRUE,FALSE,FALSE,FALSE
28-02-11,13843,1,5.2,,4.1,82,1030,11,0.5,TRUE,FALSE,FALSE,FALSE
01-03-11,15774,1,,,4.1,78,1038,11,0,FALSE,FALSE,FALSE,FALSE
02-03-11,16929,1,7.3,,3.8,77,1036,14,0,FALSE,FALSE,FALSE,FALSE
03-03-11,16576,1,4.8,-0.3,2.1,81,1035,11,0,FALSE,FALSE,FALSE,FALSE
04-03-11,16971,1,7.9,0.8,3.3,74,1033,11,0,FALSE,FALSE,FALSE,FALSE
05-03-11,9847,1,8.1,1,4.1,80,1030,10,0,TRUE,FALSE,FALSE,FALSE
06-03-11,7142,1,8,,4.6,68,1031,18,0.3,FALSE,FALSE,FALSE,FALSE
07-03-11,16192,1,10.1,,4.4,67,1029,11,0,FALSE,FALSE,FALSE,FALSE
08-03-11,17240,1,,,4.4,74,1020,6,0,FALSE,FALSE,FALSE,FALSE
09-03-11,18494,1,11.3,3.1,7.3,71,1016,21,0,TRUE,FALSE,FALSE,FALSE
10-03-11,18794,1,13.6,5.2,9.1,71,1012,29,0,FALSE,FALSE,FALSE,FALSE
11-03-11,19074,1,12.4,,8,73,1014,18,0,FALSE,FALSE,FALSE,FALSE
12-03-11,15488,1,13.4,6.7,9.6,72,1002,13,0,TRUE,FALSE,FALSE,FALSE
13-03-11,10526,1,10.6,,8.8,83,1001,10,0.3,TRUE,FALSE,FALSE,FALSE
14-03-11,19451,1,12.6,-0.2,6.2,78,1015,10,2.3,FALSE,FALSE,FALSE,FALSE
15-03-11,19568,1,,6.5,9.5,85,1014,14,0,FALSE,FALSE,FALSE,FALSE
16-03-11,19643,1,10.1,,8.3,87,1013,11,0,FALSE,FALSE,FALSE,FALSE
17-03-11,20036,1,10.4,,6.2,81,1015,10,0,FALSE,FALSE,FALSE,FALSE
18-03-11,14612,1,,,5.9,81,1023,6,5.1,TRUE,FALSE,FALSE,FALSE
19-03-11,17801,1,12.5,,5.1,65,1033,6,0,FALSE,FALSE,FALSE,FALSE
20-03-11,14694,1,13.3,,7.3,75,1033,8,0,FALSE,FALSE,FALSE,FALSE
21-03-11,20710,2,15.5,2.9,8.9,77,1034,6,0.3,FALSE,FALSE,FALSE,FALSE
22-03-11,21792,2,16.7,6.5,11.1,68,1038,6,0,FALSE,FALSE,FALSE,FALSE
23-03-11,23837,2,17.3,,10.4,73,1040,6,0,FALSE,FALSE,FALSE,FALSE
24-03-11,23518,2,16.7,,9.9,72,1034,10,0,FALSE,FALSE,FALSE,FALSE
25-03-11,24343,2,18.8,,11.2,68,1020,5,0,FALSE,FALSE,FALSE,FALSE
26-03-11,16095,2,14.6,6.3,9.8,77,1015,8,0,TRUE,FALSE,FALSE,FALSE
27-03-11,17550,2,15.1,6.9,9.7,73,1014,11,0.3,TRUE,FALSE,FALSE,FALSE
28-03-11,21602,2,15.5,,10,65,1016,6,0,FALSE,FALSE,FALSE,FALSE
29-03-11,22080,2,,3.8,9.8,73,1013,6,0,TRUE,FALSE,FALSE,FALSE
30-03-11,18945,2,,,10.4,85,1011,13,0.5,TRUE,FALSE,FALSE,FALSE
31-03-11,20831,2,18.2,,13.1,81,1011,21,5.3,TRUE,FALSE,FALSE,FALSE
01-04-11,22048,2,,11.6,13.3,81,1017,21,0.3,FALSE,FALSE,FALSE,FALSE
02-04-11,19829,2,17.8,,13.8,73,1010,14,0,FALSE,FALSE,FALSE,FALSE
03-04-11,17294,2,15.6,5,10.2,72,1014,13,0,FALSE,FALSE,FALSE,FALSE
04-04-11,20949,2,14.6,,9.2,73,1021,19,0,FALSE,FALSE,FALSE,FALSE
05-04-11,16690,2,13.2,9,11,85,1021,21,1.5,TRUE,FALSE,FALSE,FALSE
06-04-11,25597,2,23,,16.5,56,1025,14,0.3,FALSE,FALSE,FALSE,FALSE
07-04-11,25451,2,21.9,,14.6,67,1027,10,0,FALSE,FALSE,FALSE,FALSE
08-04-11,26622,2,21.4,7.6,14.9,56,1027,8,0,FALSE,FALSE,FALSE,FALSE
09-04-11,22323,2,19.1,,13,60,1025,11,0,FALSE,FALSE,FALSE,FALSE
10-04-11,21346,2,20.3,,12.6,58,1024,10,0,FALSE,FALSE,FALSE,FALSE
11-04-11,22204,2,20.2,,12.6,65,1022,10,0,TRUE,FALSE,FALSE,FALSE
12-04-11,23651,2,14.7,,10.1,53,1029,16,0,FALSE,FALSE,FALSE,FALSE
13-04-11,18909,2,13.5,4.7,8.4,70,1023,11,0,FALSE,FALSE,FALSE,FALSE
14-04-11,22346,2,13.4,7.3,10.7,72,1019,11,0,FALSE,FALSE,FALSE,FALSE
15-04-11,22974,2,17.7,,12.6,64,1020,8,0,FALSE,FALSE,FALSE,FALSE
16-04-11,19632,2,17.1,,13.1,66,1022,8,0,FALSE,FALSE,FALSE,FALSE
17-04-11,22009,2,20.1,,13.8,66,1024,6,0,FALSE,FALSE,FALSE,FALSE
18-04-11,24032,2,19.6,,13,61,1018,10,0,FALSE,FALSE,FALSE,FALSE
19-04-11,27914,2,24.8,8.8,16.3,57,1012,6,0,FALSE,FALSE,FALSE,FALSE
20-04-11,27934,2,26.5,9.6,16.9,57,1014,6,0,FALSE,FALSE,FALSE,FALSE
21-04-11,26547,2,26.3,11.7,17.8,50,1013,8,0,FALSE,FALSE,FALSE,FALSE
22-04-11,23719,2,26,,18.3,51,1008,8,0,FALSE,FALSE,FALSE,FALSE
23-04-11,19182,2,27.4,,18.9,55,1012,5,0,TRUE,FALSE,TRUE,FALSE
24-04-11,21313,2,23.3,11.3,16.6,71,1018,10,0.5,FALSE,FALSE,FALSE,FALSE
25-04-11,21669,2,,,15.1,57,1023,11,0,FALSE,FALSE,FALSE,FALSE
26-04-11,22038,2,,,11.7,73,1025,13,0,FALSE,FALSE,FALSE,FALSE
27-04-11,24349,2,17,,11.7,58,1025,13,0,TRUE,FALSE,FALSE,FALSE
28-04-11,23794,2,17,5.9,10.9,71,1020,14,0,FALSE,FALSE,FALSE,FALSE
29-04-11,19700,2,20.3,9.6,14.1,72,1012,13,0,FALSE,FALSE,FALSE,FALSE
30-04-11,21574,2,21.5,11,15.6,62,1009,16,0,FALSE,FALSE,FALSE,FALSE
01-05-11,19489,2,19.8,11.4,14.8,50,1010,23,0,TRUE,FALSE,FALSE,FALSE
02-05-11,18126,2,17,,12.1,52,1012,24,0,FALSE,FALSE,FALSE,FALSE
03-05-11,23786,2,15.3,6,10.2,52,1017,18,0,FALSE,FALSE,FALSE,FALSE
04-05-11,26183,2,18.5,,11.1,57,1021,13,0,FALSE,FALSE,FALSE,FALSE
05-05-11,23620,2,21.5,8.3,13.9,56,1019,14,0,FALSE,FALSE,FALSE,FALSE
06-05-11,28971,2,25,,17.8,47,1015,11,0,FALSE,FALSE,FALSE,FALSE
07-05-11,22274,2,23.3,13.8,17.8,73,1011,13,3,TRUE,FALSE,TRUE,FALSE
08-05-11,21011,2,,,16.2,72,1014,14,9.4,TRUE,FALSE,FALSE,FALSE
09-05-11,27172,2,20.5,10.4,15.4,65,1021,14,0,FALSE,FALSE,FALSE,FALSE
10-05-11,29417,2,21.6,8.2,15.4,64,1025,13,0,FALSE,FALSE,FALSE,FALSE
11-05-11,27205,2,18.1,8.9,13.4,73,1023,11,0,TRUE,FALSE,FALSE,FALSE
12-05-11,23461,2,19.3,,12.9,66,1020,18,0,TRUE,FALSE,FALSE,FALSE
13-05-11,23991,2,18.6,,12.9,65,1020,13,0,FALSE,FALSE,FALSE,FALSE
14-05-11,21100,2,17.4,,12,64,1020,16,0,FALSE,FALSE,FALSE,FALSE
15-05-11,19097,2,,,12.1,65,1025,16,0,FALSE,FALSE,FALSE,FALSE
16-05-11,24620,2,20.1,10.9,14.6,69,1023,21,0,FALSE,FALSE,FALSE,FALSE
17-05-11,25464,2,18.7,10.7,14.4,75,1020,19,,FALSE,FALSE,FALSE,FALSE
18-05-11,23068,2,20.3,,14.4,82,1015,16,2,TRUE,FALSE,FALSE,FALSE
19-05-11,27534,2,20.5,6.8,13.7,64,1018,8,0,FALSE,FALSE,FALSE,FALSE
20-05-11,27523,2,19.3,9.8,14.4,60,1019,13,0,FALSE,FALSE,FALSE,FALSE
21-05-11,24408,2,21.5,,15.3,62,1019,13,0,FALSE,FALSE,FALSE,FALSE
22-05-11,19348,2,20,,14.2,62,1016,24,1,TRUE,FALSE,FALSE,FALSE
23-05-11,24268,2,19.8,9.2,13.4,71,1020,23,,FALSE,FALSE,FALSE,FALSE
24-05-11,27768,2,19.4,,13.2,54,1025,23,0,FALSE,FALSE,FALSE,FALSE
25-05-11,28708,2,20.5,,14,54,1022,13,0,FALSE,FALSE,FALSE,FALSE
26-05-11,18055,2,17,,13.1,75,1008,23,7.1,TRUE,FALSE,FALSE,FALSE
27-05-11,22907,2,16.4,,12.4,66,1017,18,0.5,FALSE,FALSE,FALSE,FALSE
28-05-11,15693,2,17,8.9,12.9,75,1014,21,0,TRUE,FALSE,FALSE,FALSE
29-05-11,18396,2,20,12.7,15.9,74,1012,24,0,FALSE,FALSE,FALSE,FALSE
30-05-11,16097,2,,,14.1,85,1011,14,0,TRUE,FALSE,FALSE,FALSE
31-05-11,23312,2,,6.4,12.1,63,1020,14,2,FALSE,FALSE,FALSE,FALSE
01-06-11,26054,2,21.6,,14.4,65,1030,11,0,FALSE,FALSE,FALSE,FALSE
02-06-11,26920,2,,,17.8,67,1033,8,0,FALSE,FALSE,FALSE,FALSE
03-06-11,26641,2,25.8,12.8,19.2,60,1031,14,0,FALSE,FALSE,FALSE,FALSE
04-06-11,15233,2,27,,18.5,65,1022,14,0,FALSE,FALSE,FALSE,FALSE
05-06-11,8420,2,19.5,,14.6,77,1012,14,0,TRUE,FALSE,FALSE,FALSE
06-06-11,13812,2,15.6,,11.9,81,1006,10,18,TRUE,FALSE,FALSE,FALSE
07-06-11,22378,2,19.5,10,14.2,67,1004,14,9.4,FALSE,FALSE,FALSE,FALSE
08-06-11,23013,2,18.2,8.4,13.1,72,1006,16,0,TRUE,FALSE,FALSE,FALSE
09-06-11,25061,2,17.9,9.4,13.2,70,1013,14,1.8,TRUE,FALSE,FALSE,FALSE
10-06-11,20141,2,,7.9,11.4,73,1014,10,0.5,TRUE,FALSE,TRUE,FALSE
11-06-11,21059,2,18.9,7.2,12.4,68,1016,13,2.5,TRUE,FALSE,FALSE,FALSE
12-06-11,6061,2,,7,11.8,87,1013,14,0,TRUE,FALSE,FALSE,FALSE
13-06-11,23978,2,21.7,,17.1,75,1011,18,6.1,TRUE,FALSE,FALSE,FALSE
14-06-11,28889,2,23,,16.6,65,1018,10,0,FALSE,FALSE,FALSE,FALSE
15-06-11,25643,2,20.2,14,16.7,78,1014,14,0,TRUE,FALSE,FALSE,FALSE
16-06-11,17566,2,17.7,,13.4,82,1011,13,0.3,TRUE,FALSE,FALSE,FALSE
17-06-11,15723,2,15.4,9.7,12.6,89,1005,13,14.2,TRUE,FALSE,FALSE,FALSE
18-06-11,13721,2,18.6,10.7,13.9,76,1001,23,7.9,TRUE,FALSE,FALSE,FALSE
19-06-11,17092,2,19,10.9,14.9,71,1011,23,1.5,FALSE,FALSE,FALSE,FALSE
20-06-11,20101,2,21.3,9.5,15,79,1012,8,0,TRUE,FALSE,FALSE,FALSE
21-06-11,26780,3,21.5,,16.9,71,1010,21,3,TRUE,FALSE,FALSE,FALSE
22-06-11,22745,3,,11.8,15.2,77,1009,19,0,TRUE,FALSE,FALSE,FALSE
23-06-11,24559,3,19.2,,14.7,71,1015,19,4.1,TRUE,FALSE,FALSE,FALSE
24-06-11,22137,3,19.6,9,14.1,72,1022,16,1.8,TRUE,FALSE,FALSE,FALSE
25-06-11,17944,3,23.9,11.2,17.4,83,1021,19,0,TRUE,FALSE,FALSE,FALSE
26-06-11,23483,3,28.4,,21.7,69,1021,13,0.3,FALSE,FALSE,FALSE,FALSE
27-06-11,26243,3,31.2,,24.8,61,1013,11,0,FALSE,FALSE,FALSE,FALSE
28-06-11,21950,3,20.1,,17.6,83,1015,10,7.9,TRUE,FALSE,TRUE,FALSE
29-06-11,28073,3,20.5,,15.8,59,1022,11,0,FALSE,FALSE,FALSE,FALSE
30-06-11,27297,3,20.3,9.6,15.1,62,1025,10,0,FALSE,FALSE,FALSE,FALSE
01-07-11,27758,3,20.7,9.9,15.8,55,1026,10,0,FALSE,FALSE,FALSE,FALSE
02-07-11,22764,3,,,17.6,56,1020,6,0,FALSE,FALSE,FALSE,FALSE
03-07-11,21423,3,24.1,,18.6,57,1017,8,0,FALSE,FALSE,FALSE,FALSE
04-07-11,27332,3,25.5,13.4,19.7,55,1017,10,0,FALSE,FALSE,FALSE,FALSE
05-07-11,24802,3,25.9,12.2,17.8,69,1012,11,0,TRUE,FALSE,FALSE,FALSE
06-07-11,26207,3,20.8,12.9,16.3,69,1005,19,5.1,TRUE,FALSE,FALSE,FALSE
07-07-11,20483,3,20.4,,15.8,79,1003,23,0,TRUE,FALSE,FALSE,FALSE
08-07-11,19485,3,19.8,12.8,15.6,78,1004,18,2.3,TRUE,FALSE,FALSE,FALSE
09-07-11,21360,3,22.1,12.8,16.9,73,1011,16,0.8,FALSE,FALSE,FALSE,FALSE
10-07-11,20203,3,22.9,,17.3,72,1017,11,0,FALSE,FALSE,FALSE,FALSE
11-07-11,26355,3,24.6,,19.1,59,1019,8,0,FALSE,FALSE,FALSE,FALSE
12-07-11,26633,3,19.7,,17.2,68,1018,14,0,FALSE,FALSE,FALSE,FALSE
13-07-11,25417,3,18.4,12.9,15.4,61,1019,11,0,FALSE,FALSE,FALSE,FALSE
14-07-11,26479,3,,,17.6,54,1019,11,0,FALSE,FALSE,FALSE,FALSE
15-07-11,27114,3,25.3,,18.3,59,1016,13,0,FALSE,FALSE,FALSE,FALSE
16-07-11,10224,3,19.9,,16,86,1001,19,0.5,TRUE,FALSE,FALSE,FALSE
17-07-11,10965,3,19.3,12.7,15.3,79,994,21,8.4,TRUE,FALSE,FALSE,FALSE
18-07-11,18541,3,19.6,,15.1,81,997,24,5.1,TRUE,FALSE,FALSE,FALSE
19-07-11,21218,3,,,14.9,84,1003,10,1.8,TRUE,FALSE,FALSE,FALSE
20-07-11,21580,3,18.1,,14.9,81,1009,8,21.1,TRUE,FALSE,FALSE,FALSE
21-07-11,20951,3,19,,15.3,83,1013,6,0.5,TRUE,FALSE,FALSE,FALSE
22-07-11,25172,3,,10.8,15.5,68,1016,8,2.3,TRUE,FALSE,FALSE,FALSE
23-07-11,20264,3,18.9,,15.4,66,1014,10,0,TRUE,FALSE,FALSE,FALSE
24-07-11,22464,3,23.9,9.5,16.9,64,1010,13,0.5,FALSE,FALSE,FALSE,FALSE
25-07-11,25185,3,24,10.9,17.8,53,1009,10,0,FALSE,FALSE,FALSE,FALSE
26-07-11,25636,3,20.5,13.9,17.1,70,1015,8,0,FALSE,FALSE,FALSE,FALSE
27-07-11,24989,3,,14.8,17.3,71,1020,8,0,FALSE,FALSE,FALSE,FALSE
28-07-11,26759,3,24.5,14.5,19.3,65,1022,8,0,FALSE,FALSE,FALSE,FALSE
29-07-11,25373,3,21.1,13.7,17.3,71,1023,8,0,FALSE,FALSE,FALSE,FALSE
30-07-11,23930,3,22.6,12,17.1,56,1022,8,0,FALSE,FALSE,FALSE,FALSE
31-07-11,21388,3,24.5,,18.6,65,1016,11,0,FALSE,FALSE,FALSE,FALSE
01-08-11,22940,3,29,16,21.4,50,1013,11,0,FALSE,FALSE,FALSE,FALSE
02-08-11,24290,3,28.3,,22.6,62,1014,6,,FALSE,FALSE,FALSE,FALSE
03-08-11,26120,3,30.1,,22.1,58,1014,10,0,FALSE,FALSE,FALSE,FALSE
04-08-11,15149,3,21.8,,18.4,84,1010,16,11.9,TRUE,FALSE,FALSE,FALSE
05-08-11,26792,3,25.5,14.5,19.1,70,1011,13,0,FALSE,FALSE,FALSE,FALSE
06-08-11,20485,3,20.6,,16.6,72,1003,13,0,TRUE,FALSE,FALSE,FALSE
07-08-11,14912,3,20.3,12.1,15.3,77,1002,18,3,TRUE,FALSE,TRUE,FALSE
08-08-11,23489,3,21.9,10.9,16.1,72,1007,16,1.5,TRUE,FALSE,FALSE,FALSE
09-08-11,23011,3,21.6,,16.3,56,1022,14,0,FALSE,FALSE,FALSE,FALSE
10-08-11,24182,3,,,17.2,65,1022,13,0,FALSE,FALSE,FALSE,FALSE
11-08-11,20573,3,22.6,,18,78,1011,19,0,TRUE,FALSE,FALSE,FALSE
12-08-11,22971,3,,15.8,18.4,78,1010,13,1.3,FALSE,FALSE,FALSE,FALSE
13-08-11,20731,3,22.2,,18,78,1006,14,0,TRUE,FALSE,FALSE,FALSE
14-08-11,21115,3,23.2,,17.8,67,1007,13,0,FALSE,FALSE,FALSE,FALSE
15-08-11,23657,3,22.9,,16.7,67,1016,14,0,TRUE,FALSE,FALSE,FALSE
16-08-11,24899,3,,13.9,17.5,79,1016,14,0,FALSE,FALSE,FALSE,FALSE
17-08-11,23010,3,21.1,,16.1,71,1017,10,0,TRUE,FALSE,FALSE,FALSE
18-08-11,16139,3,16.6,,13.6,84,1015,11,1.8,TRUE,FALSE,FALSE,FALSE
19-08-11,25444,3,21.7,8.7,15.4,76,1019,10,15.7,FALSE,FALSE,FALSE,FALSE
20-08-11,17334,3,21.6,14,17.1,75,1018,13,0,TRUE,FALSE,FALSE,FALSE
21-08-11,21836,3,24.1,,18.3,70,1014,8,3.3,TRUE,FALSE,FALSE,FALSE
22-08-11,25222,3,23.5,10.9,17.4,67,1018,10,0,FALSE,FALSE,FALSE,FALSE
23-08-11,10953,3,,,15.2,88,1013,13,5.1,TRUE,FALSE,FALSE,FALSE
24-08-11,22883,3,22,13.9,16.4,76,1013,13,,TRUE,FALSE,FALSE,FALSE
25-08-11,20026,3,20.6,,16.1,75,1010,14,6.6,TRUE,FALSE,FALSE,FALSE
26-08-11,12368,3,17.5,,14.5,88,1004,8,10.2,TRUE,FALSE,FALSE,FALSE
27-08-11,14045,3,19,11.1,14.6,76,1012,14,5.6,TRUE,FALSE,FALSE,FALSE
28-08-11,15908,3,19.5,,14.6,75,1016,16,0.8,TRUE,FALSE,FALSE,FALSE
29-08-11,17443,3,18.1,9.9,14.2,67,1017,14,0,FALSE,FALSE,FALSE,FALSE
30-08-11,21477,3,17.3,,15,66,1017,10,0,FALSE,FALSE,FALSE,FALSE
31-08-11,23036,3,18.5,,15.4,68,1016,5,0,FALSE,FALSE,FALSE,FALSE
01-09-11,25110,3,21.2,10.8,15.4,74,1014,11,0,FALSE,FALSE,FALSE,FALSE
02-09-11,25981,3,27,12.9,19.1,73,1011,10,0,FALSE,FALSE,FALSE,FALSE
03-09-11,24578,3,24.1,14.7,18.4,75,1009,13,0,FALSE,FALSE,FALSE,FALSE
04-09-11,14967,3,19.4,,16.6,83,1006,14,4.1,TRUE,FALSE,FALSE,FALSE
05-09-11,21776,3,19.7,,14.9,72,1011,23,0.5,TRUE,FALSE,FALSE,FALSE
06-09-11,13863,3,18.7,,15.8,82,1007,27,16.5,TRUE,FALSE,FALSE,FALSE
07-09-11,22746,3,17.1,11.9,14,77,1011,24,0.3,TRUE,FALSE,FALSE,FALSE
08-09-11,23679,3,20.8,12.7,16.3,78,1009,19,0.5,TRUE,FALSE,FALSE,FALSE
09-09-11,23957,3,21.5,15.9,18.7,84,1009,13,0,TRUE,FALSE,FALSE,FALSE
10-09-11,20069,3,22.7,,18.9,82,1004,14,0.3,TRUE,FALSE,FALSE,FALSE
11-09-11,17719,3,21,14.8,16.9,75,1005,19,3.6,TRUE,FALSE,FALSE,FALSE
12-09-11,21572,3,21.7,,17.9,70,1004,29,0.5,TRUE,FALSE,FALSE,FALSE
13-09-11,23962,3,19.5,,14.7,67,1012,26,0.3,TRUE,FALSE,FALSE,FALSE
14-09-11,25824,3,20,10,14.4,66,1017,18,0,FALSE,FALSE,FALSE,FALSE
15-09-11,25803,3,20.1,,14,72,1020,6,0,FALSE,FALSE,FALSE,FALSE
16-09-11,25567,3,22.7,,16.7,72,1013,13,0.5,TRUE,FALSE,TRUE,FALSE
17-09-11,15147,3,19.6,,13.7,78,1006,19,0.3,TRUE,FALSE,FALSE,FALSE
18-09-11,17327,3,17,7.4,12.1,80,1003,11,0,FALSE,FALSE,FALSE,FALSE
19-09-11,23708,3,19.4,,14.1,78,1013,16,0,FALSE,FALSE,FALSE,FALSE
20-09-11,23676,3,20.2,,16.8,79,1017,19,0,FALSE,FALSE,FALSE,FALSE
21-09-11,22730,4,18.5,13,15,78,1017,13,2.5,TRUE,FALSE,FALSE,FALSE
22-09-11,24601,4,19.2,,14.9,72,1019,16,0,FALSE,FALSE,FALSE,FALSE
23-09-11,25114,4,,8.4,13.6,77,1018,10,0,FALSE,FALSE,FALSE,FALSE
24-09-11,22113,4,20.9,,14.3,82,1014,8,0,FALSE,FALSE,FALSE,FALSE
25-09-11,21211,4,21.8,11,16.5,80,1015,11,0.3,FALSE,FALSE,FALSE,FALSE
26-09-11,20527,4,22.7,,17.7,81,1020,11,0,TRUE,FALSE,FALSE,FALSE
27-09-11,24841,4,21.8,11.8,16,87,1028,8,4.3,FALSE,TRUE,FALSE,FALSE
28-09-11,28434,4,25.9,,18.8,76,1026,6,0.3,FALSE,TRUE,FALSE,FALSE
29-09-11,29039,4,28.1,12.7,19.6,72,1023,6,0,FALSE,TRUE,FALSE,FALSE
30-09-11,29139,4,28.5,12.5,19.8,70,1023,6,0,FALSE,FALSE,FALSE,FALSE
01-10-11,27129,4,28.8,12.9,19.9,67,1024,3,0,FALSE,FALSE,FALSE,FALSE
02-10-11,26906,4,28.3,12.6,19.5,66,1024,6,0,FALSE,FALSE,FALSE,FALSE
03-10-11,27559,4,26.6,,19.4,65,1019,14,0,FALSE,FALSE,FALSE,FALSE
